瞳,ひとみ
ひとみ,eyes
いつも,always
ジュエル,jewel
ボディ,body
まとう,to be adorned
ラメ,glitter
チャーム,charm
生きる,いきる
いきる,to live
こと,thing
ここ,here
ある,to be
から,from
強い,つよい
つよい,strong
夢,ゆめ
ゆめ,dream
ガンガン,vigorously
けちらす,to drive away
こう,like this
ライバル,rival
だらけ,full of
真昼,まひる
まひる,midday
笑顔,えがお
えがお,smile
より,than
くちびる,lips
アイビーム,eye beam
キメワザ,finisher
私,わたし
わたし,I/me
なる,to become
キラリ,sparkle
夜明け,よあけ
よあけ,dawn
生まれる,うまれる
うまれる,to be born
ガーディアン,guardian
だから,therefore
叶う,かなう
かなう,to come true
スターライト,starlight
プレイヤーズ,players
メイクアップ,make up
する,to do
しよう,let’s do
きらめき,sparkle
胸,むね
むね,chest/heart
セーラー,sailor
戦士,せんし
せんし,warrior
それ,that
ムーンライト,moonlight
リアルガール,real girl
