三日月,みかづき
みかづき,crescent moon
シャーレ,dish/petri dish
星,ほし
ほし,star
ピアス,earring/piercing
外す,はずす
はずす,to remove/take off
どうしよう,what shall I do/what to do
胸,むね
むね,chest/heart
いっぱい,full/a lot
花火,はなび
はなび,fireworks
なる,to become
恋,こい
こい,love
闇,やみ
やみ,darkness
消える,きえる
きえる,to disappear/fade
お願い,おねがい
おねがい,please/request
キス,kiss
やめる,to stop/quit
彩,いろどり
いろどり,coloring/tint
香り,かおり
かおり,fragrance/scent
盗む,ぬすむ
ぬすむ,to steal
いい,good/fine/may
この,this
ハート,heart
銀河,ぎんが
ぎんが,galaxy
出会う,であう
であう,to meet/encounter
夜更け,よふけ
よふけ,late at night
ワンコ,doggy
広げる,ひろげる
ひろげる,to spread/unfold
虹色,にじいろ
にじいろ,rainbow-colored
もっと,more
愛する,あいする
あいする,to love
タキシード,tuxedo
ミラージュ,mirage
