夢,ゆめ
ゆめ,dream
中,なか
なか,inside
二人,ふたり
ふたり,two people
いる,to be
星,ほし
ほし,star
守る,まもる
まもる,protect
友達,ともだち
ともだち,friend
時,とき
とき,time/when
気にする,きにする
きにする,to mind
何気なく,なにげなく
なにげなく,casually
話す,はなす
はなす,to speak
けど,but
あなた,you
だけ,only
気になる,きになる
きになる,to be concerned
瞬間,しゅんかん
しゅんかん,moment
ある,to be
もっと,more
綺麗,きれい
きれい,beautiful
今すぐ,いますぐ
いますぐ,right away
なる,to become
恋する,こいする
こいする,to fall in love
何か,なにか
なにか,something
変わる,かわる
かわる,to change
目,め
め,eye
閉じる,とじる
とじる,to close
確かめる,たしかめる
たしかめる,to confirm
抱きしめる,だきしめる
だきしめる,to hug
ときめき,heartbeat
そのまま,as it is
この,this
想い,おもい
おもい,feelings
伝える,つたえる
つたえる,to tell
